anno_mese,categoria,numero_transazioni
2024-10,Comuni,5228052
2024-10,Consorzi universitari,64711
2024-10,Enti comunali,16240
2024-10,Enti provinciali,409
2024-10,Enti regionali,33
2024-10,"Ordini, collegi e consigli professionali",117746
2024-10,Province,211014
2024-10,Pubbliche amministrazioni centrali,9711358
2024-10,Regioni,621628
2024-10,Ricerca,660
2024-10,Salute centrale,536557
2024-10,Salute locale,1069576
2024-10,Salute regionale,963
2024-10,Salute servizi,30374
2024-10,Scuola,2589224
2024-10,Tutte,37088753
2024-10,Università,784761
2024-10,Utility,11827140
2024-11,ACI,2810908
2024-11,Altri enti territoriali,571941
2024-11,Comuni,5731062
2024-11,Consorzi universitari,32675
2024-11,Enti comunali,14396
2024-11,Enti provinciali,342
2024-11,Enti regionali,80
2024-11,"Ordini, collegi e consigli professionali",109045
2024-11,Province,188596
2024-11,Pubbliche amministrazioni centrali,8929938
2024-11,Regioni,417476
2024-11,Ricerca,992
2024-11,Salute centrale,488970
2024-11,Salute locale,994838
2024-11,Salute regionale,2776
2024-11,Salute servizi,25218
2024-11,Scuola,2301584
2024-11,Tutte,34981302
2024-11,Università,550443
2024-11,Utility,11810022
2024-12,ACI,3378844
2024-12,Altri enti territoriali,446041
2024-12,Comuni,6356853
2024-12,Consorzi universitari,24435
2024-12,Enti comunali,27032
2024-12,Enti provinciali,310
2024-12,Enti regionali,124
2024-12,"Ordini, collegi e consigli professionali",113328
2024-12,Province,156989
2024-12,Pubbliche amministrazioni centrali,8681000
2024-12,Regioni,485635
2024-12,Ricerca,659
2024-12,Salute centrale,496672
2024-12,Salute locale,970330
2024-12,Salute regionale,7922
2024-12,Salute servizi,33576
2024-12,Scuola,1218637
2024-12,Tutte,35464594
2024-12,Università,525246
2024-12,Utility,12540954
2025-01,ACI,6907684
2025-01,Altri enti territoriali,425412
2025-01,Comuni,4995609
2025-01,Consorzi universitari,23720
2025-01,Enti comunali,14444
2025-01,Enti provinciali,384
2025-01,Enti regionali,60
2025-01,"Ordini, collegi e consigli professionali",398843
2025-01,Province,160320
2025-01,Pubbliche amministrazioni centrali,9568770
2025-01,Regioni,1408719
2025-01,Ricerca,1056
2025-01,Salute centrale,572168
2025-01,Salute locale,1104898
2025-01,Salute regionale,10398
2025-01,Salute servizi,37183
2025-01,Scuola,2051851
2025-01,Tutte,40273723
2025-01,Università,438609
2025-01,Utility,12153594
2025-02,ACI,5179029
2025-02,Altri enti territoriali,436967
2025-02,Comuni,4269719
2025-02,Consorzi universitari,22125
2025-02,Enti comunali,11548
2025-02,Enti provinciali,448
2025-02,Enti regionali,44
2025-02,"Ordini, collegi e consigli professionali",503405
2025-02,Province,143117
